"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2022","334.75","335.35","338.00","329.78","28.92M","-0.47%"
"01/04/2022","329.01","334.83","335.20","326.12","32.67M","-1.71%"
"01/05/2022","316.38","325.86","326.07","315.98","40.05M","-3.84%"
"01/06/2022","313.88","313.15","318.70","311.49","39.65M","-0.79%"
"01/07/2022","314.04","314.15","316.50","310.09","32.72M","0.05%"
"01/10/2022","314.27","309.48","314.72","304.69","44.29M","0.07%"
"01/11/2022","314.98","313.38","316.61","309.89","29.39M","0.23%"
"01/12/2022","318.27","319.67","323.41","317.08","34.37M","1.04%"
"01/13/2022","304.80","320.47","320.88","304.00","45.37M","-4.23%"
"01/14/2022","310.20","304.25","310.82","303.75","39.85M","1.77%"
"01/18/2022","302.65","304.07","309.80","301.74","42.43M","-2.43%"
"01/19/2022","303.33","306.29","313.91","302.70","45.93M","0.22%"
"01/20/2022","301.60","309.07","311.65","301.14","35.38M","-0.57%"
"01/21/2022","296.03","302.68","304.11","295.61","57.98M","-1.85%"
"01/24/2022","296.37","292.20","297.11","276.05","86.04M","0.11%"
"01/25/2022","288.49","291.52","294.99","285.17","72.85M","-2.66%"
"01/26/2022","296.71","307.98","308.50","293.03","90.43M","2.85%"
"01/27/2022","299.84","302.66","307.30","297.93","53.48M","1.05%"
"01/28/2022","308.26","300.23","308.48","294.45","49.74M","2.81%"
"01/31/2022","310.98","308.95","312.38","306.37","46.44M","0.88%"
"02/01/2022","308.76","310.41","310.63","305.13","40.95M","-0.71%"
"02/02/2022","313.46","309.63","315.12","308.88","36.64M","1.52%"
"02/03/2022","301.25","309.49","311.23","299.96","43.73M","-3.90%"
"02/04/2022","305.94","300.21","308.80","299.97","35.10M","1.56%"
"02/07/2022","300.95","306.17","307.84","299.90","28.53M","-1.63%"
"02/08/2022","304.56","301.25","305.56","299.95","32.42M","1.20%"
"02/09/2022","311.21","309.86","311.93","307.39","31.28M","2.18%"
"02/10/2022","302.38","304.04","309.12","300.70","45.39M","-2.84%"
"02/11/2022","295.04","303.19","304.29","294.22","39.18M","-2.43%"
"02/14/2022","295.00","293.77","296.76","291.35","36.36M","-0.01%"
"02/15/2022","300.47","300.01","300.80","297.02","27.38M","1.85%"
"02/16/2022","299.50","298.36","300.87","293.68","29.98M","-0.32%"
"02/17/2022","290.73","296.36","296.80","290.00","32.46M","-2.93%"
"02/18/2022","287.93","293.05","293.86","286.30","34.26M","-0.96%"
"02/22/2022","287.72","285.00","291.54","284.50","41.74M","-0.07%"
"02/23/2022","280.27","290.18","291.70","280.10","37.81M","-2.59%"
"02/24/2022","294.59","272.51","295.16","271.52","56.99M","5.11%"
"02/25/2022","297.31","295.14","297.63","291.65","32.55M","0.92%"
"02/28/2022","298.79","294.31","299.14","293.00","34.63M","0.50%"
"03/01/2022","294.95","296.40","299.97","292.15","31.22M","-1.29%"
"03/02/2022","300.19","295.36","301.47","293.70","31.87M","1.78%"
"03/03/2022","295.92","302.89","303.13","294.05","27.31M","-1.42%"
"03/04/2022","289.86","294.29","295.66","287.17","32.37M","-2.05%"
"03/07/2022","278.91","288.53","289.69","278.53","43.16M","-3.78%"
"03/08/2022","275.85","277.80","283.96","270.00","48.16M","-1.10%"
"03/09/2022","288.50","283.44","289.60","280.78","35.20M","4.59%"
"03/10/2022","285.59","283.02","286.60","280.58","30.63M","-1.01%"
"03/11/2022","280.07","287.96","289.51","279.43","27.21M","-1.93%"
"03/14/2022","276.44","280.34","285.40","275.82","30.66M","-1.30%"
"03/15/2022","287.15","280.35","287.82","278.73","34.25M","3.87%"
"03/16/2022","294.39","289.11","294.57","283.20","37.83M","2.52%"
"03/17/2022","295.22","293.29","295.61","289.37","30.82M","0.28%"
"03/18/2022","300.43","295.37","301.00","292.73","43.39M","1.76%"
"03/21/2022","299.16","298.89","300.14","294.90","28.35M","-0.42%"
"03/22/2022","304.06","299.80","305.00","298.77","27.60M","1.64%"
"03/23/2022","299.49","300.51","303.23","297.72","25.72M","-1.50%"
"03/24/2022","304.10","299.14","304.20","298.32","24.48M","1.54%"
"03/25/2022","303.68","305.23","305.50","299.29","22.57M","-0.14%"
"03/28/2022","310.70","304.33","310.80","304.33","29.58M","2.31%"
"03/29/2022","315.41","313.91","315.82","309.05","30.39M","1.52%"
"03/30/2022","313.86","313.76","315.95","311.58","28.16M","-0.49%"
"03/31/2022","308.31","313.90","315.14","307.89","33.42M","-1.77%"
"04/01/2022","309.42","309.37","310.13","305.54","27.11M","0.36%"
"04/04/2022","314.97","310.09","315.11","309.71","24.34M","1.79%"
"04/05/2022","310.88","313.27","314.86","309.87","23.16M","-1.30%"
"04/06/2022","299.50","305.19","307.00","296.71","40.11M","-3.66%"
"04/07/2022","301.37","296.66","303.65","296.35","31.41M","0.62%"
"04/08/2022","296.97","300.44","301.12","296.28","24.36M","-1.46%"
"04/11/2022","285.26","291.79","292.61","285.00","34.57M","-3.94%"
"04/12/2022","282.06","289.23","290.74","280.49","30.97M","-1.12%"
"04/13/2022","287.62","282.73","288.58","281.30","21.91M","1.97%"
"04/14/2022","279.83","288.09","288.30","279.32","28.22M","-2.71%"
"04/18/2022","280.52","278.91","282.46","278.34","20.78M","0.25%"
"04/19/2022","285.30","279.38","286.17","278.41","22.30M","1.70%"
"04/20/2022","286.36","289.40","289.70","285.37","22.91M","0.37%"
"04/21/2022","280.81","288.58","293.30","280.06","29.45M","-1.94%"
"04/22/2022","274.03","281.68","283.20","273.38","29.41M","-2.41%"
"04/25/2022","280.72","273.29","281.11","270.77","35.68M","2.44%"
"04/26/2022","270.22","277.50","278.36","270.00","46.52M","-3.74%"
"04/27/2022","283.22","282.10","290.97","279.16","63.48M","4.81%"
"04/28/2022","289.63","285.18","290.98","281.46","33.65M","2.26%"
